,0
1350,"{'id': 71703415, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5100409', 'nomeIBGE': 'ALTO GARÇAS', 'nomeIBGEsemAcento': 'ALTO GARCAS', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 167627.0, 'quantidadeBeneficiados': 849}"
1351,"{'id': 64304876, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5100508', 'nomeIBGE': 'ALTO PARAGUAI', 'nomeIBGEsemAcento': 'ALTO PARAGUAI', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 117545.0, 'quantidadeBeneficiados': 711}"
1352,"{'id': 75603923, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5100607', 'nomeIBGE': 'ALTO TAQUARI', 'nomeIBGEsemAcento': 'ALTO TAQUARI', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 53603.0, 'quantidadeBeneficiados': 329}"
1353,"{'id': 66802512, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5100805', 'nomeIBGE': 'APIACÁS', 'nomeIBGEsemAcento': 'APIACAS', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 45398.0, 'quantidadeBeneficiados': 302}"
1354,"{'id': 69202163, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5101001', 'nomeIBGE': 'ARAGUAIANA', 'nomeIBGEsemAcento': 'ARAGUAIANA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 38122.0, 'quantidadeBeneficiados': 209}"
1355,"{'id': 68404710, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5101209', 'nomeIBGE': 'ARAGUAINHA', 'nomeIBGEsemAcento': 'ARAGUAINHA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 19940.0, 'quantidadeBeneficiados': 88}"
1356,"{'id': 76503336, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5101258', 'nomeIBGE': 'ARAPUTANGA', 'nomeIBGEsemAcento': 'ARAPUTANGA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 140596.0, 'quantidadeBeneficiados': 737}"
1357,"{'id': 64305355, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5101308', 'nomeIBGE': 'ARENÁPOLIS', 'nomeIBGEsemAcento': 'ARENAPOLIS', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 66866.0, 'quantidadeBeneficiados': 395}"
1358,"{'id': 64804886, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5101407', 'nomeIBGE': 'ARIPUANÃ', 'nomeIBGEsemAcento': 'ARIPUANA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 157897.0, 'quantidadeBeneficiados': 1013}"
1359,"{'id': 72802384, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5101605', 'nomeIBGE': 'BARÃO DE MELGAÇO', 'nomeIBGEsemAcento': 'BARAO DE MELGACO', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 161065.0, 'quantidadeBeneficiados': 756}"
1360,"{'id': 74205313, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5101704', 'nomeIBGE': 'BARRA DO BUGRES', 'nomeIBGEsemAcento': 'BARRA DO BUGRES', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 257308.0, 'quantidadeBeneficiados': 1406}"
1361,"{'id': 71103047, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5101803', 'nomeIBGE': 'BARRA DO GARÇAS', 'nomeIBGEsemAcento': 'BARRA DO GARCAS', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 522374.0, 'quantidadeBeneficiados': 2992}"
1362,"{'id': 74005191, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5101852', 'nomeIBGE': 'BOM JESUS DO ARAGUAIA', 'nomeIBGEsemAcento': 'BOM JESUS DO ARAGUAIA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 114829.0, 'quantidadeBeneficiados': 568}"
1363,"{'id': 76502704, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5101902', 'nomeIBGE': 'BRASNORTE', 'nomeIBGEsemAcento': 'BRASNORTE', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 87985.0, 'quantidadeBeneficiados': 509}"
1364,"{'id': 74402351, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5102504', 'nomeIBGE': 'CÁCERES', 'nomeIBGEsemAcento': 'CACERES', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 1230473.0, 'quantidadeBeneficiados': 6198}"
1365,"{'id': 66403586, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5102603', 'nomeIBGE': 'CAMPINÁPOLIS', 'nomeIBGEsemAcento': 'CAMPINAPOLIS', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 411086.0, 'quantidadeBeneficiados': 1053}"
1366,"{'id': 75802155, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5102637', 'nomeIBGE': 'CAMPO NOVO DO PARECIS', 'nomeIBGEsemAcento': 'CAMPO NOVO DO PARECIS', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 61246.0, 'quantidadeBeneficiados': 380}"
1367,"{'id': 62603631, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5102678', 'nomeIBGE': 'CAMPO VERDE', 'nomeIBGEsemAcento': 'CAMPO VERDE', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 114885.0, 'quantidadeBeneficiados': 718}"
1368,"{'id': 62404767, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5102686', 'nomeIBGE': 'CAMPOS DE JÚLIO', 'nomeIBGEsemAcento': 'CAMPOS DE JULIO', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 91925.0, 'quantidadeBeneficiados': 423}"
1369,"{'id': 68604752, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5102694', 'nomeIBGE': 'CANABRAVA DO NORTE', 'nomeIBGEsemAcento': 'CANABRAVA DO NORTE', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 43304.0, 'quantidadeBeneficiados': 269}"
1370,"{'id': 72504991, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5102702', 'nomeIBGE': 'CANARANA', 'nomeIBGEsemAcento': 'CANARANA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 204877.0, 'quantidadeBeneficiados': 921}"
1371,"{'id': 71003275, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5102793', 'nomeIBGE': 'CARLINDA', 'nomeIBGEsemAcento': 'CARLINDA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 97086.0, 'quantidadeBeneficiados': 516}"
1372,"{'id': 63602888, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5102850', 'nomeIBGE': 'CASTANHEIRA', 'nomeIBGEsemAcento': 'CASTANHEIRA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 45668.0, 'quantidadeBeneficiados': 325}"
1373,"{'id': 76604291, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103007', 'nomeIBGE': 'CHAPADA DOS GUIMARÃES', 'nomeIBGEsemAcento': 'CHAPADA DOS GUIMARAES', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 274213.0, 'quantidadeBeneficiados': 1406}"
1374,"{'id': 72501991, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103056', 'nomeIBGE': 'CLÁUDIA', 'nomeIBGEsemAcento': 'CLAUDIA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 47251.0, 'quantidadeBeneficiados': 267}"
1375,"{'id': 63604778, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103106', 'nomeIBGE': 'COCALINHO', 'nomeIBGEsemAcento': 'COCALINHO', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 36035.0, 'quantidadeBeneficiados': 222}"
1376,"{'id': 74702175, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103205', 'nomeIBGE': 'COLÍDER', 'nomeIBGEsemAcento': 'COLIDER', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 132686.0, 'quantidadeBeneficiados': 887}"
1377,"{'id': 67904973, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103254', 'nomeIBGE': 'COLNIZA', 'nomeIBGEsemAcento': 'COLNIZA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 265699.0, 'quantidadeBeneficiados': 1602}"
1378,"{'id': 76002175, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103304', 'nomeIBGE': 'COMODORO', 'nomeIBGEsemAcento': 'COMODORO', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 253820.0, 'quantidadeBeneficiados': 879}"
1379,"{'id': 74005206, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103353', 'nomeIBGE': 'CONFRESA', 'nomeIBGEsemAcento': 'CONFRESA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 410952.0, 'quantidadeBeneficiados': 1731}"
1380,"{'id': 68503138, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103361', 'nomeIBGE': ""CONQUISTA D'OESTE"", 'nomeIBGEsemAcento': ""CONQUISTA D'OESTE"", 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 30539.0, 'quantidadeBeneficiados': 144}"
1381,"{'id': 65804471, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103379', 'nomeIBGE': 'COTRIGUAÇU', 'nomeIBGEsemAcento': 'COTRIGUACU', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 62248.0, 'quantidadeBeneficiados': 432}"
1382,"{'id': 72203131, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103403', 'nomeIBGE': 'CUIABÁ', 'nomeIBGEsemAcento': 'CUIABA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 2657937.0, 'quantidadeBeneficiados': 17944}"
1383,"{'id': 69302718, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103437', 'nomeIBGE': 'CURVELÂNDIA', 'nomeIBGEsemAcento': 'CURVELANDIA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 57564.0, 'quantidadeBeneficiados': 300}"
1384,"{'id': 68304242, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103452', 'nomeIBGE': 'DENISE', 'nomeIBGEsemAcento': 'DENISE', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 85511.0, 'quantidadeBeneficiados': 408}"
1385,"{'id': 75502775, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103502', 'nomeIBGE': 'DIAMANTINO', 'nomeIBGEsemAcento': 'DIAMANTINO', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 137224.0, 'quantidadeBeneficiados': 759}"
1386,"{'id': 71003205, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103601', 'nomeIBGE': 'DOM AQUINO', 'nomeIBGEsemAcento': 'DOM AQUINO', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 167017.0, 'quantidadeBeneficiados': 641}"
1387,"{'id': 70703859, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103700', 'nomeIBGE': 'FELIZ NATAL', 'nomeIBGEsemAcento': 'FELIZ NATAL', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 160930.0, 'quantidadeBeneficiados': 591}"
1388,"{'id': 74104502, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103809', 'nomeIBGE': ""FIGUEIRÓPOLIS D'OESTE"", 'nomeIBGEsemAcento': ""FIGUEIROPOLIS D'OESTE"", 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 20079.0, 'quantidadeBeneficiados': 115}"
1389,"{'id': 76504854, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103858', 'nomeIBGE': 'GAÚCHA DO NORTE', 'nomeIBGEsemAcento': 'GAUCHA DO NORTE', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 159824.0, 'quantidadeBeneficiados': 445}"
1390,"{'id': 66303879, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103908', 'nomeIBGE': 'GENERAL CARNEIRO', 'nomeIBGEsemAcento': 'GENERAL CARNEIRO', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 84697.0, 'quantidadeBeneficiados': 393}"
1391,"{'id': 67504610, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5103957', 'nomeIBGE': ""GLÓRIA D'OESTE"", 'nomeIBGEsemAcento': ""GLORIA D'OESTE"", 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 57034.0, 'quantidadeBeneficiados': 231}"
1392,"{'id': 66903751, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5104104', 'nomeIBGE': 'GUARANTÃ DO NORTE', 'nomeIBGEsemAcento': 'GUARANTA DO NORTE', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 382544.0, 'quantidadeBeneficiados': 1736}"
1393,"{'id': 65103457, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5104203', 'nomeIBGE': 'GUIRATINGA', 'nomeIBGEsemAcento': 'GUIRATINGA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 117774.0, 'quantidadeBeneficiados': 783}"
1394,"{'id': 71303295, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5104500', 'nomeIBGE': 'INDIAVAÍ', 'nomeIBGEsemAcento': 'INDIAVAI', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 8509.0, 'quantidadeBeneficiados': 62}"
1395,"{'id': 70403890, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5104526', 'nomeIBGE': 'IPIRANGA DO NORTE', 'nomeIBGEsemAcento': 'IPIRANGA DO NORTE', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 48003.0, 'quantidadeBeneficiados': 219}"
1396,"{'id': 74204604, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5104542', 'nomeIBGE': 'ITANHANGÁ', 'nomeIBGEsemAcento': 'ITANHANGA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 83374.0, 'quantidadeBeneficiados': 319}"
1397,"{'id': 66502222, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5104559', 'nomeIBGE': 'ITAÚBA', 'nomeIBGEsemAcento': 'ITAUBA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 47842.0, 'quantidadeBeneficiados': 270}"
1398,"{'id': 73703613, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5104609', 'nomeIBGE': 'ITIQUIRA', 'nomeIBGEsemAcento': 'ITIQUIRA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 109623.0, 'quantidadeBeneficiados': 652}"
1399,"{'id': 63904335, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5104807', 'nomeIBGE': 'JACIARA', 'nomeIBGEsemAcento': 'JACIARA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 212465.0, 'quantidadeBeneficiados': 1190}"
1400,"{'id': 68402805, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5104906', 'nomeIBGE': 'JANGADA', 'nomeIBGEsemAcento': 'JANGADA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 137971.0, 'quantidadeBeneficiados': 718}"
1401,"{'id': 65103389, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5105002', 'nomeIBGE': 'JAURU', 'nomeIBGEsemAcento': 'JAURU', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 57727.0, 'quantidadeBeneficiados': 376}"
1402,"{'id': 67904284, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5105101', 'nomeIBGE': 'JUARA', 'nomeIBGEsemAcento': 'JUARA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 184167.0, 'quantidadeBeneficiados': 968}"
1403,"{'id': 70104607, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5105150', 'nomeIBGE': 'JUÍNA', 'nomeIBGEsemAcento': 'JUINA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 171073.0, 'quantidadeBeneficiados': 988}"
1404,"{'id': 62704975, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5105176', 'nomeIBGE': 'JURUENA', 'nomeIBGEsemAcento': 'JURUENA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 39491.0, 'quantidadeBeneficiados': 285}"
1405,"{'id': 74803490, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5105200', 'nomeIBGE': 'JUSCIMEIRA', 'nomeIBGEsemAcento': 'JUSCIMEIRA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 92485.0, 'quantidadeBeneficiados': 543}"
1406,"{'id': 70104782, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5105234', 'nomeIBGE': ""LAMBARI D'OESTE"", 'nomeIBGEsemAcento': ""LAMBARI D'OESTE"", 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 80195.0, 'quantidadeBeneficiados': 441}"
1407,"{'id': 67504620, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5105259', 'nomeIBGE': 'LUCAS DO RIO VERDE', 'nomeIBGEsemAcento': 'LUCAS DO RIO VERDE', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 384510.0, 'quantidadeBeneficiados': 1802}"
1408,"{'id': 73004808, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5105309', 'nomeIBGE': 'LUCIARA', 'nomeIBGEsemAcento': 'LUCIARA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 47840.0, 'quantidadeBeneficiados': 219}"
1409,"{'id': 75104400, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '5105580', 'nomeIBGE': 'MARCELÂNDIA', 'nomeIBGEsemAcento': 'MARCELANDIA', 'pais': 'BRASIL', 'uf': {'sigla': 'MT', 'nome': 'MATO GROSSO'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 176691.0, 'quantidadeBeneficiados': 831}"
